distancia_km,trafico_nivel,clima,tipo_vehiculo,peso_carga_kg,paradas_previas,experiencia_chofer_anios,hora_despacho,costo_envio,consumo_nafta,id_bodega,target_tiempo_entrega
2.810679626804357,alto,lluvia,camion,177.28799373478537,7,7,11,5836.5035506559525,6.99777071870328,4,63.577071275090816
25.182596860876725,medio,soleado,moto,43.785237077559714,9,13,8,13321.428788740965,5.378227595487077,2,50.99647335776395
9.661996434425436,medio,nublado,moto,291.55392478724923,6,6,16,7251.865186664405,9.165121339685566,4,41.4744348461924
9.66532437175858,bajo,lluvia,moto,353.7723159824964,6,2,20,8693.301464602006,12.892030211950896,3,64.12361917125605
27.1167901963322,medio,lluvia,camion,291.04497829129605,7,22,15,4383.469231232407,14.51954432626891,4,36.76752879497476
16.082155597090456,bajo,nublado,van,142.47914720090068,7,5,18,9184.921479936698,11.238529746100124,2,24.967837338366547
23.49124560295228,critico,soleado,moto,131.90610127296506,4,12,11,5439.994116544092,8.888370923527216,2,24.556561984499325
15.977336859478717,alto,lluvia,van,80.58431898984914,6,15,9,12780.036514416308,12.698552735473022,4,48.64036376703066
23.298378475640902,bajo,soleado,van,24.448424664116207,1,6,17,4603.181289399718,10.052239834292209,1,72.30572134371576
15.01008824701967,critico,soleado,camion,214.0121400768689,3,1,13,6678.117689585472,8.676202798906615,4,42.86100492681061
40.37401331837614,critico,soleado,camion,81.09964030468014,5,11,12,3235.961771267797,6.790896925529747,3,56.39859336412368
28.33357700477242,critico,soleado,moto,345.7080527944585,9,21,17,9643.7670819325,12.961299843370574,4,49.6712013860094
8.910233391559554,medio,soleado,camion,480.90477174204375,2,12,12,14245.636836812524,10.004257905170167,4,38.80495329783864
1.4144464365978529,alto,soleado,van,37.66729623692526,1,24,11,4251.026880651997,14.638037413110627,3,20.13585884455513
1.8572274167367984,alto,soleado,camion,446.5849360518333,0,3,10,2256.5832035478657,13.0190960034872,4,47.496484908233846
21.662815241728683,alto,nublado,camion,329.2003281602551,3,19,12,7492.020747096107,9.200161191422769,4,57.06641874575595
16.391813772337972,bajo,soleado,van,430.279211374028,1,13,13,11729.397089670912,12.408500408674572,3,51.82751683394412
13.843447789190693,alto,soleado,camion,78.32446674529321,2,11,18,14676.308359673576,9.53391492852071,4,39.90525604474717
31.52335978063512,critico,lluvia,camion,453.334532247425,9,23,20,2666.6278783296925,5.798657284142647,4,37.06851170244602
40.846722243617926,medio,lluvia,moto,478.978038907703,5,7,20,12217.50453177345,10.166810515582188,2,35.49318377526141
4.105614359275027,alto,soleado,van,453.4503403672704,9,12,14,6792.762944530571,13.657286195341497,3,35.117997773764806
6.388706439096022,critico,lluvia,camion,392.96431609020266,2,18,8,3998.5094669192295,13.554413185170164,2,45.675284873884834
19.068555753917146,alto,nublado,van,46.0618243727907,2,16,10,4499.967037172312,10.749669136399746,3,42.65007789539516
22.63284037373292,bajo,nublado,camion,111.144804583303,3,8,17,14010.488912462071,8.800235364148499,1,52.58670433709965
20.366275768809142,critico,nublado,moto,456.6544703426685,2,21,13,12521.647954523463,5.101006023103718,2,30.447557313675595
32.293193753031616,bajo,lluvia,camion,115.48272431617043,5,13,9,6052.478001040648,8.114097789395128,1,44.60530291238458
5.273549907594768,medio,nublado,camion,174.50930212622615,8,17,11,14222.473450831312,14.898085773077344,4,44.47490524747886
25.241681123145973,medio,nublado,van,26.18797038403175,7,4,16,3368.2929766554344,12.264910332929944,1,37.37306509365992
40.775481586959415,bajo,lluvia,camion,314.4184093029002,1,24,20,6192.973762028763,12.175885638250628,4,49.61146235714213
46.49449964509174,alto,soleado,van,282.08716021237296,2,9,13,10487.975197863054,12.61083390331761,1,31.61230629996779
28.45843792994641,bajo,soleado,moto,480.92406228592057,7,9,15,14992.447993891254,11.201133833419444,4,62.88902274675777
7.782789730970984,critico,soleado,van,446.27997300814553,2,10,12,8053.3423221749,10.85858657175008,4,51.36052202253718
36.64616291057264,bajo,lluvia,camion,253.46600154014504,4,11,8,12539.293549463,9.536192553624144,1,53.16808042839517
40.02024703161528,bajo,soleado,van,305.05931422320947,8,1,15,13906.25660206004,9.43933993669687,2,43.923750020812896
10.618259554078822,medio,nublado,moto,207.18521325735315,1,17,12,2125.169509806326,13.708484554371989,3,40.06914076885216
34.197743415740966,critico,soleado,camion,67.09710956649737,8,7,16,5756.22947078638,8.934562616967805,2,34.16963323763913
46.59522193181428,medio,nublado,moto,434.0275071238547,9,11,18,3304.676789369924,13.402917840677215,1,32.511564812650974
36.22325234367486,critico,soleado,moto,275.21975192176194,4,13,8,12088.783237560556,13.377344256249373,4,22.06486406261969
21.36283221696418,medio,soleado,camion,213.27066981907805,8,6,19,9371.655549619973,12.708981993415112,1,46.39273453444338
22.69538659971148,medio,soleado,camion,35.16423761118388,3,23,7,3242.279268757637,5.376423998634462,3,55.48111123904121
4.898275369902267,alto,lluvia,van,333.0263207690074,7,8,18,7469.416876495178,6.479722444036198,1,26.674064448286448
26.779616357782743,medio,soleado,camion,200.4327879721152,7,22,10,8681.601838546914,8.14705142186515,2,64.84154565843389
40.33154573230004,medio,nublado,van,127.59423727376335,2,10,8,11070.76875863425,13.475333422594815,4,21.409758258136417
48.94633325557463,alto,nublado,moto,438.4998826127978,4,14,18,12133.295063880323,13.73259381356166,2,57.81559227467949
20.56588494529873,critico,soleado,van,92.63228533187376,9,12,13,3142.338625327256,5.415572943554921,4,32.31720413457584
